n	tpr	fpr	method
50	0.06622516556291391	4.1675349031048136e-4	StARS_MB
50	0.052980132450331126	2.0837674515524068e-4	StARS_MB
50	0.046357615894039736	2.0837674515524068e-4	StARS_MB
50	0.033112582781456956	0	StARS_MB
50	0.026490066225165563	0	StARS_MB
50	0.013245033112582781	0	StARS_MB
50	0	0	StARS_MB
100	0.8145695364238411	0.09689518649718691	StARS_MB
100	0.7748344370860927	0.0604292560950198	StARS_MB
100	0.7549668874172185	0.048343404876015836	StARS_MB
100	0.7483443708609272	0.038966451344030005	StARS_MB
100	0.7218543046357616	0.035632423421546155	StARS_MB
100	0.695364238410596	0.03188164200875182	StARS_MB
100	0.695364238410596	0.027505730360491767	StARS_MB
100	0.6821192052980133	0.02438007918316316	StARS_MB
100	0.6754966887417219	0.022713065221921232	StARS_MB
100	0.6556291390728477	0.020212544280058347	StARS_MB
100	0.6490066225165563	0.019170660554282144	StARS_MB
100	0.6490066225165563	0.017920400083350697	StARS_MB
100	0.6423841059602649	0.016461762867264012	StARS_MB
100	0.6291390728476821	0.01541987914148781	StARS_MB
100	0.6158940397350994	0.013961241925401125	StARS_MB
100	0.6026490066225165	0.013336111689935403	StARS_MB
100	0.5960264900662252	0.012502604709314441	StARS_MB
100	0.5827814569536424	0.012085851219003959	StARS_MB
100	0.5695364238410596	0.011252344238382997	StARS_MB
100	0.5695364238410596	0.010627214002917275	StARS_MB
100	0.5695364238410596	0.010002083767451552	StARS_MB
100	0.5695364238410596	0.010002083767451552	StARS_MB
100	0.5695364238410596	0.00937695353198583	StARS_MB
100	0.5629139072847682	0.00916857678683059	StARS_MB
100	0.5562913907284768	0.008751823296520108	StARS_MB
100	0.5562913907284768	0.008126693061054386	StARS_MB
100	0.5562913907284768	0.008126693061054386	StARS_MB
100	0.543046357615894	0.008126693061054386	StARS_MB
100	0.543046357615894	0.008126693061054386	StARS_MB
100	0.5298013245033113	0.007501562825588664	StARS_MB
100	0.5298013245033113	0.007501562825588664	StARS_MB
100	0.5298013245033113	0.007293186080433424	StARS_MB
100	0.5298013245033113	0.007084809335278183	StARS_MB
100	0.5165562913907285	0.007084809335278183	StARS_MB
100	0.5165562913907285	0.006876432590122942	StARS_MB
100	0.5165562913907285	0.0062513023546572205	StARS_MB
100	0.5165562913907285	0.0062513023546572205	StARS_MB
100	0.5099337748344371	0.005209418628881017	StARS_MB
100	0.4966887417218543	0.005001041883725776	StARS_MB
100	0.4966887417218543	0.005001041883725776	StARS_MB
100	0.4966887417218543	0.005001041883725776	StARS_MB
100	0.4900662251655629	0.004792665138570536	StARS_MB
100	0.48344370860927155	0.004584288393415295	StARS_MB
100	0.48344370860927155	0.004584288393415295	StARS_MB
100	0.4768211920529801	0.004375911648260054	StARS_MB
100	0.4768211920529801	0.004375911648260054	StARS_MB
100	0.46357615894039733	0.004375911648260054	StARS_MB
100	0.4503311258278146	0.004167534903104814	StARS_MB
100	0.4503311258278146	0.004167534903104814	StARS_MB
100	0.4503311258278146	0.004167534903104814	StARS_MB
100	0.4503311258278146	0.003959158157949573	StARS_MB
100	0.4503311258278146	0.003334027922483851	StARS_MB
100	0.423841059602649	0.0031256511773286103	StARS_MB
100	0.423841059602649	0.0027088976870181286	StARS_MB
100	0.423841059602649	0.0027088976870181286	StARS_MB
100	0.41721854304635764	0.0027088976870181286	StARS_MB
100	0.4105960264900662	0.0022921441967076474	StARS_MB
